"lon","lat"
-72.09,-49.76
13.68717,-47.921
168.1247,-46.89415
168.12286,-46.893982
51.83,-46.42
170.49046,-45.85635
170.5226,-45.776497
-72.75,-45.5
168.48654,-44.076256
168.32579,-44.07272
170.45844,-43.98334
171.26367,-43.889957
169.16412,-43.82633
172.25345,-43.81501
176.26685,-43.731686
172.47305,-43.64976
172.48553,-43.640816
172.46846,-43.63167
172.63373,-43.563602
172.65953,-43.551453
172.64722,-43.542416
172.59772,-43.54225
172.58534,-43.54221
172.62425,-43.534668
172.61015,-43.533295
172.70924,-43.506584
169.8553,-43.49272
172.52397,-43.478966
169.91692,-43.457954
171.13344,-43.44833
172.69768,-43.325
172.70168,-43.31933
171.60512,-43.214993
172.69502,-43.06961
173.07846,-43.048325
172.78343,-43.04567
172.79364,-43.038944
172.73248,-43.03579
172.78394,-43.002724
170.8113,-42.903656
171.5575,-42.88812
170.79926,-42.880283
171.55994,-42.85168
171.56165,-42.83072
171.57378,-42.803314
-65.00678,-42.78572
171.62434,-42.772865
171.52223,-42.74413
170.95331,-42.720154
170.96788,-42.71915
170.98419,-42.713406
171.23325,-42.706623
171.17719,-42.62362
171.13043,-42.5845
172.1668,-42.581646
171.11719,-42.571407
171.20978,-42.448074
171.1928,-42.442226
171.19446,-42.439278
171.20216,-42.433277
171.23752,-42.37781
171.24321,-42.374294
171.28345,-42.281635
172.59097,-41.800705
171.46582,-41.747234
171.56123,-41.74532
171.5775,-41.738945
175.0446,-41.3443
174.79568,-41.31589
175.40018,-41.314957
173.57405,-41.29874
174.85016,-41.248287
172.10013,-41.231613
146.41,-41.16
174.85464,-41.094185
-62.7833,-41.0333
-71.1,-40.99
175.26224,-40.977737
-71.45,-40.91
175.03351,-39.914925
-71.32,-39.75
176.9052,-39.66992
176.83519,-39.664925
176.87633,-39.475296
174.98637,-39.256557
-71.19,-39.25
175.0048,-39.19651
175.02176,-39.194927
175.00375,-39.194855
-71.23,-39.15
177.38354,-39.06491
77.51667,-38.71667
177.04659,-38.48853
-71.54235,-38.47697
-71.68056,-38.47377
-71.52468,-38.47047
-71.66868,-38.46935
